BINID	total_length	seq_length_mean	total_seq_counts	genome_id	tp_length	tp_seq_counts	precision_bp	precision_seq	length_gs	seq_counts_gs	recall_bp	recall_seq	rank	Tool	sample_id
RNODE_14_length_1961_cov_5.54358	19280	1928.0	10.0	RNODE_14_length_1961_cov_5.54358	19280	10.0	1.0	1.0	19280	10.0	1.0	1.0	NA	Gold standard	sample_2
RNODE_109_length_1521_cov_3.43229	14893	1489.3	10.0	RNODE_109_length_1521_cov_3.43229	14893	10.0	1.0	1.0	14893	10.0	1.0	1.0	NA	Gold standard	sample_2
RNODE_225_length_25884_cov_6.69550	258323	25832.3	10.0	RNODE_225_length_25884_cov_6.69550	258323	10.0	1.0	1.0	258323	10.0	1.0	1.0	NA	Gold standard	sample_2
RNODE_25_length_1750_cov_3.28993	16763	1676.3	10.0	RNODE_25_length_1750_cov_3.28993	16763	10.0	1.0	1.0	16763	10.0	1.0	1.0	NA	Gold standard	sample_2
RNODE_67_length_1419_cov_2.86686	12742	910.1428571428571	14.0	RNODE_67_length_1419_cov_2.86686	12742	14.0	1.0	1.0	12742	14.0	1.0	1.0	NA	Gold standard	sample_2
RNODE_220_length_2011_cov_9.40825	19245	1924.5	10.0	RNODE_220_length_2011_cov_9.40825	19245	10.0	1.0	1.0	19245	10.0	1.0	1.0	NA	Gold standard	sample_2
RNODE_468_length_1541_cov_8.66960	14768	1476.8	10.0	RNODE_468_length_1541_cov_8.66960	14768	10.0	1.0	1.0	14768	10.0	1.0	1.0	NA	Gold standard	sample_2
RNODE_308_length_1875_cov_5.96654	17568	1597.090909090909	11.0	RNODE_308_length_1875_cov_5.96654	17568	11.0	1.0	1.0	17568	11.0	1.0	1.0	NA	Gold standard	sample_2
RNODE_90_length_1469_cov_9.25017	13522	1352.2	10.0	RNODE_90_length_1469_cov_9.25017	13522	10.0	1.0	1.0	13522	10.0	1.0	1.0	NA	Gold standard	sample_2
RNODE_531_length_9868_cov_8.44904	97776	9777.6	10.0	RNODE_531_length_9868_cov_8.44904	97776	10.0	1.0	1.0	97776	10.0	1.0	1.0	NA	Gold standard	sample_2
RNODE_364_length_1571_cov_3.81278	14006	875.375	16.0	RNODE_364_length_1571_cov_3.81278	14006	16.0	1.0	1.0	14006	16.0	1.0	1.0	NA	Gold standard	sample_2
RNODE_227_length_4381_cov_5.48337	43418	4341.8	10.0	RNODE_227_length_4381_cov_5.48337	43418	10.0	1.0	1.0	43418	10.0	1.0	1.0	NA	Gold standard	sample_2
Otu36.0	4137245	517155.625	8.0	Otu36.0	4137245	8.0	1.0	1.0	4137245	8.0	1.0	1.0	NA	Gold standard	sample_2
RNODE_60_length_1811_cov_3.41811	17832	1783.2	10.0	RNODE_60_length_1811_cov_3.41811	17832	10.0	1.0	1.0	17832	10.0	1.0	1.0	NA	Gold standard	sample_2
Otu40.0	1481079	370269.75	4.0	Otu40.0	1481079	4.0	1.0	1.0	1481079	4.0	1.0	1.0	NA	Gold standard	sample_2
RNODE_10_length_6468_cov_8.06035	63917	5810.636363636364	11.0	RNODE_10_length_6468_cov_8.06035	63917	11.0	1.0	1.0	63917	11.0	1.0	1.0	NA	Gold standard	sample_2
RNODE_539_length_1827_cov_6.73752	17550	1755.0	10.0	RNODE_539_length_1827_cov_6.73752	17550	10.0	1.0	1.0	17550	10.0	1.0	1.0	NA	Gold standard	sample_2
RNODE_392_length_2136_cov_7.00284	19646	1403.2857142857142	14.0	RNODE_392_length_2136_cov_7.00284	19646	14.0	1.0	1.0	19646	14.0	1.0	1.0	NA	Gold standard	sample_2
RNODE_442_length_4465_cov_7.11694	42835	4283.5	10.0	RNODE_442_length_4465_cov_7.11694	42835	10.0	1.0	1.0	42835	10.0	1.0	1.0	NA	Gold standard	sample_2
RNODE_110_length_1672_cov_10.73939	16197	1619.7	10.0	RNODE_110_length_1672_cov_10.73939	16197	10.0	1.0	1.0	16197	10.0	1.0	1.0	NA	Gold standard	sample_2
RNODE_559_length_3361_cov_13.97064	32950	3295.0	10.0	RNODE_559_length_3361_cov_13.97064	32950	10.0	1.0	1.0	32950	10.0	1.0	1.0	NA	Gold standard	sample_2
RNODE_146_length_5606_cov_4.42067	55832	5583.2	10.0	RNODE_146_length_5606_cov_4.42067	55832	10.0	1.0	1.0	55832	10.0	1.0	1.0	NA	Gold standard	sample_2
RNODE_464_length_2364_cov_17.83117	22308	2230.8	10.0	RNODE_464_length_2364_cov_17.83117	22308	10.0	1.0	1.0	22308	10.0	1.0	1.0	NA	Gold standard	sample_2
RNODE_393_length_3465_cov_6.98635	33668	3366.8	10.0	RNODE_393_length_3465_cov_6.98635	33668	10.0	1.0	1.0	33668	10.0	1.0	1.0	NA	Gold standard	sample_2
RNODE_159_length_3592_cov_2.43025	34010	2267.3333333333335	15.0	RNODE_159_length_3592_cov_2.43025	34010	15.0	1.0	1.0	34010	15.0	1.0	1.0	NA	Gold standard	sample_2
RNODE_33_length_1778_cov_2.60592	16169	1347.4166666666667	12.0	RNODE_33_length_1778_cov_2.60592	16169	12.0	1.0	1.0	16169	12.0	1.0	1.0	NA	Gold standard	sample_2
RNODE_315_length_1516_cov_8.44846	14492	1449.2	10.0	RNODE_315_length_1516_cov_8.44846	14492	10.0	1.0	1.0	14492	10.0	1.0	1.0	NA	Gold standard	sample_2
RNODE_228_length_3093_cov_6.42006	30591	3059.1	10.0	RNODE_228_length_3093_cov_6.42006	30591	10.0	1.0	1.0	30591	10.0	1.0	1.0	NA	Gold standard	sample_2
RNODE_38_length_1552_cov_8.47059	14799	1479.9	10.0	RNODE_38_length_1552_cov_8.47059	14799	10.0	1.0	1.0	14799	10.0	1.0	1.0	NA	Gold standard	sample_2
RNODE_218_length_1465_cov_7.29868	13475	1347.5	10.0	RNODE_218_length_1465_cov_7.29868	13475	10.0	1.0	1.0	13475	10.0	1.0	1.0	NA	Gold standard	sample_2
Otu23	5732630	955438.3333333334	6.0	Otu23	5732630	6.0	1.0	1.0	5732630	6.0	1.0	1.0	NA	Gold standard	sample_2
RNODE_435_length_5602_cov_25.16136	53466	5346.6	10.0	RNODE_435_length_5602_cov_25.16136	53466	10.0	1.0	1.0	53466	10.0	1.0	1.0	NA	Gold standard	sample_2
RNODE_265_length_1287_cov_4.20553	11638	1163.8	10.0	RNODE_265_length_1287_cov_4.20553	11638	10.0	1.0	1.0	11638	10.0	1.0	1.0	NA	Gold standard	sample_2
RNODE_133_length_1956_cov_5.95398	19035	1903.5	10.0	RNODE_133_length_1956_cov_5.95398	19035	10.0	1.0	1.0	19035	10.0	1.0	1.0	NA	Gold standard	sample_2
RNODE_343_length_2376_cov_8.77188	23513	2351.3	10.0	RNODE_343_length_2376_cov_8.77188	23513	10.0	1.0	1.0	23513	10.0	1.0	1.0	NA	Gold standard	sample_2
RNODE_50_length_1796_cov_6.24352	17053	1705.3	10.0	RNODE_50_length_1796_cov_6.24352	17053	10.0	1.0	1.0	17053	10.0	1.0	1.0	NA	Gold standard	sample_2
Otu11	1667156	1667156.0	1.0	Otu11	1667156	1.0	1.0	1.0	1667156	1.0	1.0	1.0	NA	Gold standard	sample_2
Otu3.1	3176192	1588096.0	2.0	Otu3.1	3176192	2.0	1.0	1.0	3176192	2.0	1.0	1.0	NA	Gold standard	sample_2
Otu2.0	4145248	2072624.0	2.0	Otu2.0	4145248	2.0	1.0	1.0	4145248	2.0	1.0	1.0	NA	Gold standard	sample_2
Otu160	1859369	1859369.0	1.0	Otu160	1859369	1.0	1.0	1.0	1859369	1.0	1.0	1.0	NA	Gold standard	sample_2
Otu82	4059837	4059837.0	1.0	Otu82	4059837	1.0	1.0	1.0	4059837	1.0	1.0	1.0	NA	Gold standard	sample_2
Otu4.0	1926624	1926624.0	1.0	Otu4.0	1926624	1.0	1.0	1.0	1926624	1.0	1.0	1.0	NA	Gold standard	sample_2
Otu9	2562256	2562256.0	1.0	Otu9	2562256	1.0	1.0	1.0	2562256	1.0	1.0	1.0	NA	Gold standard	sample_2
Otu93	3251322	3251322.0	1.0	Otu93	3251322	1.0	1.0	1.0	3251322	1.0	1.0	1.0	NA	Gold standard	sample_2
1	3920755	8890.600907029479	441.0	Otu61.0	3780147	420.0	0.9641375194318441	0.9523809523809523	4023891	562.0	0.9394257945853901	0.7473309608540926	NA	MetaBat2_GTDB	sample_2
10	3176192	1588096.0	2.0	Otu3.1	3176192	2.0	1.0	1.0	3176192	2.0	1.0	1.0	NA	MetaBat2_GTDB	sample_2
11	2691857	3976.155096011817	677.0	Otu157.0	2612064	646.0	0.9703576378685792	0.9542097488921714	3450384	1388.0	0.7570357386308306	0.4654178674351585	NA	MetaBat2_GTDB	sample_2
12	9625695	2722.968882602546	3535.0	Otu172.0	2972049	937.0	0.3087620166647707	0.26506364922206505	4347295	2544.0	0.6836547784311854	0.3683176100628931	NA	MetaBat2_GTDB	sample_2
13	1783780	3739.58071278826	477.0	Otu660	1633311	409.0	0.9156459877339134	0.8574423480083857	2352833	937.0	0.6941890903434286	0.43649946638207043	NA	MetaBat2_GTDB	sample_2
14	835403	2307.743093922652	362.0	Otu315.0	822421	356.0	0.9844601946605411	0.9834254143646409	3374450	4120.0	0.2437200136318511	0.08640776699029126	NA	MetaBat2_GTDB	sample_2
15	2562256	2562256.0	1.0	Otu9	2562256	1.0	1.0	1.0	2562256	1.0	1.0	1.0	NA	MetaBat2_GTDB	sample_2
16	309183	154591.5	2.0	Otu23	307424	1.0	0.994310812690219	0.5	5732630	6.0	0.0536270437826966	0.16666666666666666	NA	MetaBat2_GTDB	sample_2
17	2116796	3246.6196319018404	652.0	Otu168.0	2112491	650.0	0.997966265998235	0.9969325153374233	3143028	1774.0	0.6721196884023941	0.3664036076662909	NA	MetaBat2_GTDB	sample_2
18	17377629	3662.3032665964174	4745.0	Otu42.0	3639436	717.0	0.20943225338738675	0.15110642781875658	3935268	1034.0	0.9248254502615832	0.6934235976789168	NA	MetaBat2_GTDB	sample_2
19	284533	2351.5123966942147	121.0	Otu499	284533	121.0	1.0	1.0	1960917	2365.0	0.1451020109469192	0.05116279069767442	NA	MetaBat2_GTDB	sample_2
2	4059837	4059837.0	1.0	Otu82	4059837	1.0	1.0	1.0	4059837	1.0	1.0	1.0	NA	MetaBat2_GTDB	sample_2
20	3408086	33088.21359223301	103.0	Otu53.0	3379454	92.0	0.9915988035513188	0.8932038834951457	3421648	100.0	0.9876685152885393	0.92	NA	MetaBat2_GTDB	sample_2
21	3263886	20657.506329113923	158.0	Otu22	3252319	152.0	0.9964560649483468	0.9620253164556962	3589470	231.0	0.9060722056459589	0.658008658008658	NA	MetaBat2_GTDB	sample_2
22	587009	2284.081712062257	257.0	Otu271	587009	257.0	1.0	1.0	3945031	4779.0	0.14879705634759272	0.0537769407825905	NA	MetaBat2_GTDB	sample_2
23	654473	2280.3937282229967	287.0	Otu123.0	630358	275.0	0.9631535601927047	0.9581881533101045	2775177	3329.0	0.22714154808864442	0.08260738960648843	NA	MetaBat2_GTDB	sample_2
24	1777184	2648.560357675112	671.0	Otu69.0	1761078	664.0	0.9909373480742568	0.9895678092399404	4388948	3708.0	0.4012528742650858	0.1790722761596548	NA	MetaBat2_GTDB	sample_2
25	4139196	3807.9080036798528	1087.0	Otu595.0	3815643	982.0	0.9218319209817559	0.9034038638454461	5371696	2340.0	0.7103237040964343	0.41965811965811967	NA	MetaBat2_GTDB	sample_2
26	2742160	3389.567367119901	809.0	Otu1257	2031541	496.0	0.7408542900487207	0.6131025957972805	3062173	1205.0	0.6634311647317117	0.41161825726141077	NA	MetaBat2_GTDB	sample_2
27	523192	2198.285714285714	238.0	Otu180	505271	229.0	0.9657468004097922	0.9621848739495799	1964130	2338.0	0.25724926557814404	0.0979469632164243	NA	MetaBat2_GTDB	sample_2
28	2102314	3123.7949479940567	673.0	Otu1191	2088367	668.0	0.9933658815952326	0.9925705794947994	3443401	1977.0	0.606483822244345	0.33788568538189173	NA	MetaBat2_GTDB	sample_2
29	9229078	2442.847538380095	3778.0	Otu205.1	3426027	1259.0	0.3712209388630153	0.3332451032292218	5447111	4032.0	0.6289622150163637	0.31225198412698413	NA	MetaBat2_GTDB	sample_2
3	5356927	765275.2857142857	7.0	Otu23	5351926	4.0	0.9990664423838518	0.5714285714285714	5732630	6.0	0.9335899927258519	0.6666666666666666	NA	MetaBat2_GTDB	sample_2
30	6793458	2709.795771838851	2507.0	Otu761	2959427	948.0	0.43562895361979126	0.37814120462704426	4242303	2467.0	0.6975991578159316	0.3842723956222132	NA	MetaBat2_GTDB	sample_2
31	2485968	6983.056179775281	356.0	Otu506.0	2432010	333.0	0.9782949740302369	0.9353932584269663	2963280	531.0	0.8207155584352475	0.6271186440677966	NA	MetaBat2_GTDB	sample_2
32	2128277	2630.750309023486	809.0	Otu235.0	1847859	696.0	0.8682417749193362	0.8603213844252163	4293880	3609.0	0.43034714523927076	0.19285120532003325	NA	MetaBat2_GTDB	sample_2
33	670157	3191.2238095238095	210.0	Otu73	63977	7.0	0.09546568938323408	0.03333333333333333	5493620	910.0	0.011645690819532475	0.007692307692307693	NA	MetaBat2_GTDB	sample_2
34	4860892	15629.877813504823	311.0	Otu35.0	4838058	306.0	0.9953025082639153	0.9839228295819936	5037500	359.0	0.9604085359801489	0.8523676880222841	NA	MetaBat2_GTDB	sample_2
35	325921	2075.9299363057326	157.0	Otu1000	322466	155.0	0.9893992716026276	0.9872611464968153	3877326	6646.0	0.08316711052926681	0.023322299127294614	NA	MetaBat2_GTDB	sample_2
36	2634966	3348.1143583227445	787.0	Otu40.1	2567308	764.0	0.9743230083424226	0.9707750952986023	6229342	3656.0	0.41213148997117194	0.2089715536105033	NA	MetaBat2_GTDB	sample_2
37	2285714	2692.2426383981156	849.0	Otu304.0	1710040	643.0	0.7481425935178242	0.7573616018845701	3738855	3139.0	0.457369970218155	0.20484230646702772	NA	MetaBat2_GTDB	sample_2
38	1013210	2302.75	440.0	Otu106	526017	231.0	0.5191589107884841	0.525	1651529	1947.0	0.3185030356717926	0.11864406779661017	NA	MetaBat2_GTDB	sample_2
39	2563230	26700.3125	96.0	Otu6	2461665	45.0	0.960376166009293	0.46875	2465742	47.0	0.9983465423389795	0.9574468085106383	NA	MetaBat2_GTDB	sample_2
4	5789965	3155.294277929155	1835.0	Otu302.0	2099743	660.0	0.3626521058417452	0.35967302452316074	3004300	1749.0	0.6989125586659122	0.37735849056603776	NA	MetaBat2_GTDB	sample_2
40	1925443	3125.719155844156	616.0	Otu453	1925443	616.0	1.0	1.0	2864450	1693.0	0.6721859344725863	0.3638511518015357	NA	MetaBat2_GTDB	sample_2
41	2921727	14831.10152284264	197.0	Otu24.0	2920024	196.0	0.9994171255562206	0.9949238578680203	4816360	329.0	0.6062719564152181	0.5957446808510638	NA	MetaBat2_GTDB	sample_2
42	4977511	829585.1666666666	6.0	Otu13.0	2613045	1.0	0.5249702110151038	0.16666666666666666	2655383	2.0	0.9840557840432058	0.5	NA	MetaBat2_GTDB	sample_2
43	3481653	3481653.0	1.0	Otu67.0	3481653	1.0	1.0	1.0	3522065	2.0	0.9885260493488905	0.5	NA	MetaBat2_GTDB	sample_2
44	4192294	24373.802325581397	172.0	Otu382.0	4187077	169.0	0.9987555739172873	0.9825581395348837	4447973	203.0	0.9413449676965215	0.8325123152709359	NA	MetaBat2_GTDB	sample_2
45	1006540	2765.21978021978	364.0	Otu252	863913	312.0	0.8582997198322968	0.8571428571428571	2079702	1754.0	0.4154023028299247	0.17787913340935005	NA	MetaBat2_GTDB	sample_2
46	28138966	2848.0734817813764	9880.0	Otu107	4292786	593.0	0.15255663623176488	0.06002024291497976	4711619	841.0	0.911106352190192	0.7051129607609988	NA	MetaBat2_GTDB	sample_2
47	1853783	4137.908482142857	448.0	Otu196	1826357	433.0	0.9852053881171636	0.9665178571428571	2261337	848.0	0.8076447694439175	0.5106132075471698	NA	MetaBat2_GTDB	sample_2
48	2951954	3935.9386666666664	750.0	Otu980	2719123	671.0	0.9211264809681994	0.8946666666666667	3615538	1415.0	0.7520659442661092	0.4742049469964664	NA	MetaBat2_GTDB	sample_2
49	3907511	205658.47368421053	19.0	Otu26.0	3899663	14.0	0.997991560356452	0.7368421052631579	3899663	14.0	1.0	1.0	NA	MetaBat2_GTDB	sample_2
5	4684151	38711.99173553719	121.0	Otu249.0	4498744	86.0	0.9604182273372486	0.7107438016528925	4513886	89.0	0.9966454624684806	0.9662921348314607	NA	MetaBat2_GTDB	sample_2
50	3774681	5423.392241379311	696.0	Otu283.0	3745965	683.0	0.9923924697212824	0.9813218390804598	4142442	1055.0	0.9042890642765788	0.64739336492891	NA	MetaBat2_GTDB	sample_2
51	1833622	3222.534270650264	569.0	Otu12.0	1803477	556.0	0.9835598613018387	0.9771528998242531	3507733	2086.0	0.5141431802249488	0.2665388302972196	NA	MetaBat2_GTDB	sample_2
52	966737	2670.5441988950274	362.0	Otu327	964678	361.0	0.9978701549645871	0.9972375690607734	1867017	1552.0	0.5166948131698854	0.23260309278350516	NA	MetaBat2_GTDB	sample_2
53	1571045	4018.0179028132993	391.0	Otu89	1520323	371.0	0.9677144830351773	0.948849104859335	1816197	690.0	0.8370914608932841	0.5376811594202898	NA	MetaBat2_GTDB	sample_2
54	258323	25832.3	10.0	RNODE_225_length_25884_cov_6.69550	258323	10.0	1.0	1.0	258323	10.0	1.0	1.0	NA	MetaBat2_GTDB	sample_2
55	1868094	18869.636363636364	99.0	Otu24.0	1868094	99.0	1.0	1.0	4816360	329.0	0.38786427924822897	0.3009118541033435	NA	MetaBat2_GTDB	sample_2
56	1607944	11999.58208955224	134.0	Otu218	1566415	125.0	0.9741726080012737	0.9328358208955224	1867864	209.0	0.8386129825297773	0.5980861244019139	NA	MetaBat2_GTDB	sample_2
57	316490	2344.3703703703704	135.0	Otu470	316490	135.0	1.0	1.0	1404081	1695.0	0.2254072236573246	0.07964601769911504	NA	MetaBat2_GTDB	sample_2
58	230659	1988.4396551724137	116.0	Otu391	206159	105.0	0.8937825968204145	0.9051724137931034	2471664	4191.0	0.08340899086607241	0.025053686471009307	NA	MetaBat2_GTDB	sample_2
59	7486899	2958.079415250889	2531.0	Otu1458.0	3295337	1058.0	0.4401471156482811	0.41801659423152904	4738705	2763.0	0.6954087667411244	0.38291711907347087	NA	MetaBat2_GTDB	sample_2
6	2067017	43979.085106382976	47.0	Otu99.0	2065515	46.0	0.9992733489855188	0.9787234042553191	3292868	104.0	0.6272692983745477	0.4423076923076923	NA	MetaBat2_GTDB	sample_2
60	2315711	7667.917218543046	302.0	Otu71	2309634	299.0	0.9973757519828683	0.9900662251655629	2767301	453.0	0.8346161115108187	0.6600441501103753	NA	MetaBat2_GTDB	sample_2
61	6609757	31475.033333333333	210.0	Otu298	3623875	127.0	0.5482614565104285	0.6047619047619047	8166429	346.0	0.44375271002784694	0.3670520231213873	NA	MetaBat2_GTDB	sample_2
62	390672	1973.090909090909	198.0	Otu576	204755	105.0	0.5241097391161895	0.5303030303030303	2703188	4532.0	0.0757457490932928	0.02316857899382171	NA	MetaBat2_GTDB	sample_2
63	588614	2687.735159817352	219.0	Otu364	586774	218.0	0.9968740125107456	0.9954337899543378	1330687	1128.0	0.4409556867993751	0.19326241134751773	NA	MetaBat2_GTDB	sample_2
64	2509523	4028.126805778491	623.0	Otu256	2473023	608.0	0.9854554032778341	0.9759229534510433	3214357	1237.0	0.7693678704636728	0.49151172190784154	NA	MetaBat2_GTDB	sample_2
65	48289245	5106.190652426774	9457.0	Otu73	4808862	597.0	0.09958453481722483	0.06312784181029925	5493620	910.0	0.8753539560435559	0.656043956043956	NA	MetaBat2_GTDB	sample_2
66	2106489	4090.2699029126215	515.0	Otu870	2027184	481.0	0.9623520464621462	0.9339805825242719	2671946	1029.0	0.758691979553479	0.467444120505345	NA	MetaBat2_GTDB	sample_2
67	3758073	30803.877049180326	122.0	Otu1337	3727562	109.0	0.9918812114612995	0.8934426229508197	3909830	120.0	0.9533821163580002	0.9083333333333333	NA	MetaBat2_GTDB	sample_2
68	1921614	2582.814516129032	744.0	Otu846.0	1854272	721.0	0.9649555009486817	0.9690860215053764	3582845	3001.0	0.5175417859271054	0.24025324891702765	NA	MetaBat2_GTDB	sample_2
69	2999678	599935.6	5.0	Otu47.0	1518599	1.0	0.5062540045964934	0.2	1518599	1.0	1.0	1.0	NA	MetaBat2_GTDB	sample_2
7	4145248	2072624.0	2.0	Otu2.0	4145248	2.0	1.0	1.0	4145248	2.0	1.0	1.0	NA	MetaBat2_GTDB	sample_2
70	3215169	63042.529411764706	51.0	Otu88.0	3209743	48.0	0.9983123748704967	0.9411764705882353	3391033	77.0	0.946538414695463	0.6233766233766234	NA	MetaBat2_GTDB	sample_2
71	21031536	6938.810953480699	3031.0	Otu186.0	4874759	45.0	0.23178330864659624	0.014846585285384361	4926604	46.0	0.9894765237879887	0.9782608695652174	NA	MetaBat2_GTDB	sample_2
72	1926624	1926624.0	1.0	Otu4.0	1926624	1.0	1.0	1.0	1926624	1.0	1.0	1.0	NA	MetaBat2_GTDB	sample_2
73	5558450	63890.22988505747	87.0	Otu10	5558450	87.0	1.0	1.0	5711313	118.0	0.9732350512045128	0.7372881355932204	NA	MetaBat2_GTDB	sample_2
74	2219484	20938.528301886792	106.0	Otu274.0	2219484	106.0	1.0	1.0	2265052	121.0	0.9798821395711886	0.8760330578512396	NA	MetaBat2_GTDB	sample_2
75	257900	2063.2	125.0	Otu435.1	241893	121.0	0.9379333074835208	0.968	2668508	4638.0	0.09064728305105325	0.02608883139284174	NA	MetaBat2_GTDB	sample_2
76	3251322	3251322.0	1.0	Otu93	3251322	1.0	1.0	1.0	3251322	1.0	1.0	1.0	NA	MetaBat2_GTDB	sample_2
77	24115788	3218.8718633208755	7492.0	Otu220.0	4374780	1086.0	0.18140730047883985	0.14495461825947678	5183773	1981.0	0.843937417784305	0.5482079757698132	NA	MetaBat2_GTDB	sample_2
78	1667156	1667156.0	1.0	Otu11	1667156	1.0	1.0	1.0	1667156	1.0	1.0	1.0	NA	MetaBat2_GTDB	sample_2
79	359478	25677.0	14.0	RNODE_521_length_36130_cov_13.94678	359478	14.0	1.0	1.0	360224	15.0	0.9979290663587101	0.9333333333333333	NA	MetaBat2_GTDB	sample_2
8	1859369	1859369.0	1.0	Otu160	1859369	1.0	1.0	1.0	1859369	1.0	1.0	1.0	NA	MetaBat2_GTDB	sample_2
80	4140267	414026.7	10.0	Otu36.0	4137245	8.0	0.9992700953827374	0.8	4137245	8.0	1.0	1.0	NA	MetaBat2_GTDB	sample_2
81	1739481	1739481.0	1.0	Otu48.0	1739481	1.0	1.0	1.0	1739481	1.0	1.0	1.0	NA	MetaBat2_GTDB	sample_2
82	3676555	7016.326335877862	524.0	Otu70.0	3320083	445.0	0.903041842159304	0.8492366412213741	3674200	634.0	0.9036206521147461	0.7018927444794952	NA	MetaBat2_GTDB	sample_2
83	1566382	52212.73333333333	30.0	Otu854	1566382	30.0	1.0	1.0	1583655	32.0	0.9890929526948735	0.9375	NA	MetaBat2_GTDB	sample_2
84	8709683	25768.292899408283	338.0	Otu298	4461378	193.0	0.512231960681003	0.5710059171597633	8166429	346.0	0.5463070823244774	0.5578034682080925	NA	MetaBat2_GTDB	sample_2
85	237719	2014.5677966101696	118.0	Otu1168.0	218336	111.0	0.9184625545286662	0.940677966101695	2827960	4807.0	0.07720618396299807	0.02309132515082172	NA	MetaBat2_GTDB	sample_2
9	4874411	10736.588105726873	454.0	Otu60.0	4828399	434.0	0.9905605005404755	0.9559471365638766	5173657	545.0	0.933266159700962	0.7963302752293578	NA	MetaBat2_GTDB	sample_2
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_2
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_2
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_2
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_2
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_2
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_2
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_2
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_2
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_2
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_2
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_2
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_2
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_2
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_2
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_2
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_2
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_2
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_2
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_2
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_2
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_2
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_2
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_2
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_2
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_2
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_2
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_2
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_2
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_2
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_2
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_2
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_2
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_2
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_2
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_2
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_2
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_2
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_2
